Symbol,Price,Day
EKGYO,"19,68",2025-10-08
ENKAI,"69,45",2025-10-08
MGROS,"451,7",2025-10-08
TAVHL,"233,8",2025-10-08
TTKOM,"50,85",2025-10-08
KCHOL,"168,4",2025-10-08
ULKER,105,2025-10-08
PGSUS,"216,5",2025-10-08
THYAO,"310,25",2025-10-08
TUPRS,"180,5",2025-10-08
SAHOL,"82,55",2025-10-08
EREGL,"27,82",2025-10-08
FROTO,"95,9",2025-10-08
KRDMD,"26,7",2025-10-08
YKBNK,"31,4",2025-10-08
SISE,35,2025-10-08
ASTOR,"91,95",2025-10-08
AKBNK,"58,1",2025-10-08
GARAN,"130,9",2025-10-08
ISCTR,"12,6",2025-10-08
SASA,"3,16",2025-10-08
DSTKF,528,2025-10-08
TOASO,"278,75",2025-10-07
PETKM,"19,3",2025-10-07
BIMAS,567,2025-10-07
MGROS,"463,61",2025-10-07
TCELL,"100,4",2025-10-07
PGSUS,"224,1",2025-10-07
TTKOM,"52,25",2025-10-07
ULKER,"105,8",2025-10-07
KRDMD,"27,88",2025-10-07
TAVHL,"236,9",2025-10-07
AEFES,"13,8",2025-10-07
KOZAL,"24,94",2025-10-07
THYAO,"313,75",2025-10-07
KCHOL,"170,3",2025-10-07
EKGYO,"19,6",2025-10-07
ENKAI,"69,5",2025-10-07
GUBRF,"280,5",2025-10-07
EREGL,29,2025-10-07
ASELS,"209,5",2025-10-07
TUPRS,"180,6",2025-10-07
SAHOL,"84,35",2025-10-07
FROTO,"97,35",2025-10-07
GARAN,"134,5",2025-10-07
SISE,"35,32",2025-10-07
YKBNK,"31,46",2025-10-07
AKBNK,"59,1",2025-10-07
ASTOR,"93,75",2025-10-07
ISCTR,"12,89",2025-10-07
SASA,"3,22",2025-10-07
DSTKF,480,2025-10-07
TOASO,269,2025-10-06
BIMAS,"561,5",2025-10-06
MGROS,"459,64",2025-10-06
PETKM,"18,9",2025-10-06
TCELL,"98,8",2025-10-06
ASELS,"215,2",2025-10-06
PGSUS,"220,8",2025-10-06
KOZAL,"25,16",2025-10-06
TTKOM,"51,5",2025-10-06
ULKER,"105,2",2025-10-06
TUPRS,182,2025-10-06
KRDMD,"27,88",2025-10-06
EREGL,"29,02",2025-10-06
EKGYO,"19,21",2025-10-06
TAVHL,"231,1",2025-10-06
KCHOL,"167,6",2025-10-06
AEFES,"13,51",2025-10-06
ENKAI,"68,1",2025-10-06
FROTO,"96,55",2025-10-06
GUBRF,"276,25",2025-10-06
THYAO,"305,5",2025-10-06
GARAN,133,2025-10-06
YKBNK,"31,4",2025-10-06
SAHOL,"82,25",2025-10-06
AKBNK,"58,45",2025-10-06
SISE,"35,14",2025-10-06
ISCTR,"12,9",2025-10-06
ASTOR,"92,05",2025-10-06
SASA,"3,23",2025-10-06
DSTKF,"510,5",2025-10-06
BIMAS,"563,5",2025-10-03
TOASO,"265,5",2025-10-03
MGROS,"468,08",2025-10-03
ASELS,"216,1",2025-10-03
TCELL,"98,1",2025-10-03
PGSUS,"222,3",2025-10-03
TUPRS,"185,1",2025-10-03
KOZAL,"25,4",2025-10-03
ULKER,106,2025-10-03
TTKOM,"51,2",2025-10-03
EKGYO,"19,51",2025-10-03
PETKM,"18,29",2025-10-03
ENKAI,"70,4",2025-10-03
EREGL,"29,34",2025-10-03
FROTO,"98,8",2025-10-03
TAVHL,"233,6",2025-10-03
KRDMD,"27,8",2025-10-03
YKBNK,"32,44",2025-10-03
KCHOL,"167,7",2025-10-03
GARAN,"135,7",2025-10-03
THYAO,311,2025-10-03
AEFES,"13,67",2025-10-03
GUBRF,"281,25",2025-10-03
ISCTR,"13,23",2025-10-03
AKBNK,"59,45",2025-10-03
SISE,"35,6",2025-10-03
SAHOL,"81,35",2025-10-03
ASTOR,"93,3",2025-10-03
SASA,"3,34",2025-10-03
DSTKF,567,2025-10-03
BIMAS,567,2025-10-02
TOASO,268,2025-10-02
MGROS,"463,36",2025-10-02
TCELL,"101,4",2025-10-02
EKGYO,"20,7",2025-10-02
TUPRS,191,2025-10-02
ASELS,217,2025-10-02
TTKOM,"52,7",2025-10-02
PGSUS,224,2025-10-02
YKBNK,"34,18",2025-10-02
KCHOL,"173,8",2025-10-02
TAVHL,"236,5",2025-10-02
ULKER,"107,2",2025-10-02
GARAN,"140,5",2025-10-02
KOZAL,"25,18",2025-10-02
FROTO,"99,9",2025-10-02
ENKAI,"70,7",2025-10-02
PETKM,"18,27",2025-10-02
EREGL,"29,66",2025-10-02
AKBNK,"62,45",2025-10-02
ISCTR,"13,95",2025-10-02
THYAO,315,2025-10-02
SAHOL,"86,5",2025-10-02
KRDMD,"27,62",2025-10-02
AEFES,"13,75",2025-10-02
DSTKF,630,2025-10-02
GUBRF,280,2025-10-02
ASTOR,"96,4",2025-10-02
SISE,"35,88",2025-10-02
SASA,"3,38",2025-10-02
BIMAS,"567,5",2025-10-01
TOASO,"268,5",2025-10-01
TUPRS,"191,5",2025-10-01
EKGYO,"20,66",2025-10-01
YKBNK,"35,34",2025-10-01
MGROS,"460,14",2025-10-01
ASELS,"218,1",2025-10-01
TCELL,"99,5",2025-10-01
GARAN,146,2025-10-01
TAVHL,"241,9",2025-10-01
ISCTR,"14,54",2025-10-01
TTKOM,"52,5",2025-10-01
ULKER,"108,7",2025-10-01
DSTKF,700,2025-10-01
EREGL,"29,9",2025-10-01
KOZAL,"25,48",2025-10-01
KCHOL,176,2025-10-01
KRDMD,"28,7",2025-10-01
AKBNK,"64,25",2025-10-01
PETKM,"18,38",2025-10-01
FROTO,"100,3",2025-10-01
ENKAI,"71,3",2025-10-01
THYAO,"315,75",2025-10-01
SAHOL,"88,4",2025-10-01
PGSUS,"220,3",2025-10-01
GUBRF,284,2025-10-01
AEFES,"14,04",2025-10-01
SISE,"37,48",2025-10-01
ASTOR,"99,55",2025-10-01
SASA,"3,52",2025-10-01
ASELS,215,2025-09-30
BIMAS,541,2025-09-30
CIMSA,"47,1",2025-09-30
TCELL,"97,85",2025-09-30
TUPRS,"186,5",2025-09-30
TAVHL,240,2025-09-30
EKGYO,"19,87",2025-09-30
TOASO,"259,25",2025-09-30
YKBNK,"33,94",2025-09-30
KOZAL,"25,22",2025-09-30
MGROS,"441,77",2025-09-30
GARAN,"139,8",2025-09-30
THYAO,315,2025-09-30
PETKM,"18,09",2025-09-30
KCHOL,"172,9",2025-09-30
EREGL,"29,4",2025-09-30
ISCTR,"14,15",2025-09-30
KRDMD,"28,4",2025-09-30
GUBRF,"285,25",2025-09-30
ULKER,"104,5",2025-09-30
AKBNK,"62,7",2025-09-30
FROTO,"99,05",2025-09-30
TTKOM,"50,8",2025-09-30
SAHOL,"86,8",2025-09-30
ENKAI,"70,4",2025-09-30
PGSUS,"216,5",2025-09-30
SISE,"37,32",2025-09-30
ASTOR,"97,6",2025-09-30
SASA,"3,75",2025-09-30
AEFES,"13,83",2025-09-30
ASELS,"216,3",2025-09-29
BIMAS,535,2025-09-29
TUPRS,"193,3",2025-09-29
YKBNK,"34,1",2025-09-29
TCELL,"97,3",2025-09-29
KOZAL,"25,42",2025-09-29
PETKM,"18,34",2025-09-29
THYAO,"319,25",2025-09-29
EREGL,"29,36",2025-09-29
EKGYO,"19,55",2025-09-29
KRDMD,"28,42",2025-09-29
CIMSA,"45,5",2025-09-29
TAVHL,235,2025-09-29
MGROS,"437,06",2025-09-29
TOASO,"252,75",2025-09-29
ULKER,"105,4",2025-09-29
GUBRF,290,2025-09-29
FROTO,"99,4",2025-09-29
ISCTR,"14,11",2025-09-29
KCHOL,"171,7",2025-09-29
SISE,"37,54",2025-09-29
ENKAI,"70,55",2025-09-29
GARAN,"137,6",2025-09-29
TTKOM,"50,55",2025-09-29
SAHOL,"86,95",2025-09-29
PGSUS,"215,2",2025-09-29
SASA,"3,8",2025-09-29
AKBNK,"61,2",2025-09-29
AEFES,"13,65",2025-09-29
ASTOR,"96,65",2025-09-29
ASELS,"217,3",2025-09-26
GUBRF,311,2025-09-26
KOZAL,"25,84",2025-09-26
TUPRS,"192,8",2025-09-26
PETKM,19,2025-09-26
EREGL,"30,32",2025-09-26
TCELL,"96,9",2025-09-26
BIMAS,526,2025-09-26
THYAO,"319,75",2025-09-26
YKBNK,"34,16",2025-09-26
TAVHL,"239,6",2025-09-26
TOASO,"256,75",2025-09-26
MGROS,"441,77",2025-09-26
KRDMD,"28,78",2025-09-26
CIMSA,46,2025-09-26
SISE,"38,14",2025-09-26
FROTO,"100,7",2025-09-26
ULKER,"106,5",2025-09-26
ENKAI,"71,5",2025-09-26
SAHOL,"88,05",2025-09-26
SASA,"3,94",2025-09-26
GARAN,"139,8",2025-09-26
KCHOL,"172,4",2025-09-26
ISCTR,"14,15",2025-09-26
TTKOM,"50,95",2025-09-26
PGSUS,219,2025-09-26
ASTOR,102,2025-09-26
EKGYO,"18,98",2025-09-26
AKBNK,"61,8",2025-09-26
AEFES,"14,02",2025-09-26
EREGL,"32,44",2025-09-25
ASELS,"218,3",2025-09-25
TUPRS,"200,6",2025-09-25
GUBRF,"311,25",2025-09-25
KOZAL,"26,22",2025-09-25
KRDMD,"30,2",2025-09-25
PETKM,"19,18",2025-09-25
BIMAS,532,2025-09-25
TCELL,"98,2",2025-09-25
SISE,"39,96",2025-09-25
THYAO,"328,25",2025-09-25
YKBNK,"34,54",2025-09-25
ULKER,109,2025-09-25
EKGYO,"19,89",2025-09-25
ENKAI,"73,7",2025-09-25
TOASO,"261,25",2025-09-25
MGROS,444,2025-09-25
TTKOM,"52,6",2025-09-25
KCHOL,"178,9",2025-09-25
SASA,"4,07",2025-09-25
ISCTR,"14,55",2025-09-25
CIMSA,"46,02",2025-09-25
SAHOL,"90,9",2025-09-25
FROTO,"103,1",2025-09-25
GARAN,"142,5",2025-09-25
AKBNK,"64,65",2025-09-25
TAVHL,"237,4",2025-09-25
ASTOR,"104,9",2025-09-25
PGSUS,"223,9",2025-09-25
AEFES,"14,49",2025-09-25
EREGL,"31,44",2025-09-24
ASELS,"217,5",2025-09-24
GUBRF,309,2025-09-24
KOZAL,"26,3",2025-09-24
TUPRS,"197,6",2025-09-24
TCELL,"99,6",2025-09-24
KRDMD,"29,98",2025-09-24
BIMAS,"536,5",2025-09-24
YKBNK,"34,56",2025-09-24
PETKM,"18,6",2025-09-24
SISE,"39,7",2025-09-24
TOASO,"262,75",2025-09-24
ENKAI,"75,25",2025-09-24
THYAO,324,2025-09-24
MGROS,"447,73",2025-09-24
CIMSA,"46,68",2025-09-24
EKGYO,"20,28",2025-09-24
TTKOM,"52,9",2025-09-24
ULKER,"109,3",2025-09-24
GARAN,146,2025-09-24
AKBNK,"65,55",2025-09-24
ISCTR,"14,68",2025-09-24
KCHOL,"177,9",2025-09-24
SAHOL,"91,1",2025-09-24
TAVHL,"238,2",2025-09-24
SASA,"3,99",2025-09-24
PGSUS,"224,7",2025-09-24
ASTOR,"105,2",2025-09-24
AEFES,"14,82",2025-09-24
FROTO,101,2025-09-24
EREGL,"31,66",2025-09-23
ASELS,"211,2",2025-09-23
KOZAL,"26,12",2025-09-23
GUBRF,"301,75",2025-09-23
KRDMD,"29,8",2025-09-23
TUPRS,"195,6",2025-09-23
BIMAS,538,2025-09-23
TCELL,"99,05",2025-09-23
YKBNK,"34,98",2025-09-23
SISE,"40,7",2025-09-23
CIMSA,"47,44",2025-09-23
TTKOM,"53,5",2025-09-23
ENKAI,"74,95",2025-09-23
ISCTR,"14,85",2025-09-23
PETKM,"18,52",2025-09-23
TOASO,"261,5",2025-09-23
ULKER,"109,7",2025-09-23
THYAO,"324,75",2025-09-23
GARAN,"146,5",2025-09-23
KCHOL,179,2025-09-23
AKBNK,66,2025-09-23
SASA,"4,01",2025-09-23
MGROS,"445,74",2025-09-23
SAHOL,"90,6",2025-09-23
TAVHL,"241,5",2025-09-23
EKGYO,"19,75",2025-09-23
AEFES,"15,12",2025-09-23
PGSUS,"227,4",2025-09-23
ASTOR,105,2025-09-23
FROTO,"101,7",2025-09-23
ASELS,"213,6",2025-09-22
GUBRF,"310,5",2025-09-22
KOZAL,"25,96",2025-09-22
EREGL,"29,62",2025-09-22
YKBNK,"35,58",2025-09-22
KRDMD,"29,5",2025-09-22
TUPRS,"195,7",2025-09-22
BIMAS,542,2025-09-22
TOASO,"269,25",2025-09-22
TCELL,"98,9",2025-09-22
KCHOL,"185,2",2025-09-22
SISE,"40,18",2025-09-22
TTKOM,"54,15",2025-09-22
ENKAI,"75,5",2025-09-22
SASA,"4,19",2025-09-22
AKBNK,"67,7",2025-09-22
ISCTR,"15,2",2025-09-22
SAHOL,"94,25",2025-09-22
GARAN,"149,6",2025-09-22
PETKM,"18,41",2025-09-22
AEFES,"15,61",2025-09-22
ULKER,"111,2",2025-09-22
CIMSA,"47,42",2025-09-22
MGROS,"453,44",2025-09-22
TAVHL,"245,5",2025-09-22
EKGYO,"20,3",2025-09-22
THYAO,326,2025-09-22
PGSUS,"233,8",2025-09-22
FROTO,"105,1",2025-09-22
ASTOR,"107,5",2025-09-22
ASELS,"204,4",2025-09-19
KRDMD,30,2025-09-19
TUPRS,195,2025-09-19
GUBRF,"290,25",2025-09-19
EREGL,"28,94",2025-09-19
ENKAI,"75,9",2025-09-19
KOZAL,"25,04",2025-09-19
YKBNK,"34,68",2025-09-19
BIMAS,532,2025-09-19
TOASO,"265,25",2025-09-19
KCHOL,"183,5",2025-09-19
TCELL,97,2025-09-19
SASA,"4,07",2025-09-19
TTKOM,"53,65",2025-09-19
ISCTR,"15,07",2025-09-19
SAHOL,"93,4",2025-09-19
SISE,"39,28",2025-09-19
ULKER,"110,3",2025-09-19
AKBNK,"66,65",2025-09-19
GARAN,148,2025-09-19
AEFES,"15,59",2025-09-19
PETKM,"18,05",2025-09-19
EKGYO,"20,3",2025-09-19
MGROS,"446,98",2025-09-19
CIMSA,"46,4",2025-09-19
PGSUS,"232,6",2025-09-19
FROTO,"105,8",2025-09-19
THYAO,"319,75",2025-09-19
TAVHL,"242,2",2025-09-19
ASTOR,"109,8",2025-09-19
TUPRS,"191,4",2025-09-18
ASELS,"192,2",2025-09-18
GUBRF,"291,5",2025-09-18
ENKAI,"74,95",2025-09-18
TOASO,"260,75",2025-09-18
KOZAL,25,2025-09-18
YKBNK,"33,52",2025-09-18
KRDMD,"28,12",2025-09-18
TCELL,"94,8",2025-09-18
KCHOL,"177,5",2025-09-18
SASA,"4,03",2025-09-18
BIMAS,"512,5",2025-09-18
AKBNK,"65,05",2025-09-18
SAHOL,"91,3",2025-09-18
ISCTR,"14,45",2025-09-18
AEFES,"15,34",2025-09-18
SISE,"38,52",2025-09-18
ULKER,"107,7",2025-09-18
GARAN,"143,6",2025-09-18
EREGL,"27,24",2025-09-18
CIMSA,46,2025-09-18
PETKM,"17,76",2025-09-18
TTKOM,52,2025-09-18
MGROS,"439,54",2025-09-18
PGSUS,"229,8",2025-09-18
FROTO,"104,1",2025-09-18
TAVHL,"240,5",2025-09-18
EKGYO,"19,61",2025-09-18
THYAO,"317,75",2025-09-18
ASTOR,110,2025-09-18
TUPRS,"190,2",2025-09-17
ASELS,"194,1",2025-09-17
GUBRF,"294,5",2025-09-17
TOASO,262,2025-09-17
YKBNK,"34,34",2025-09-17
ENKAI,"75,2",2025-09-17
ISCTR,"15,02",2025-09-17
SASA,"4,21",2025-09-17
AKBNK,"67,35",2025-09-17
KCHOL,"179,8",2025-09-17
GARAN,"148,5",2025-09-17
TCELL,"95,75",2025-09-17
KOZAL,"24,52",2025-09-17
KRDMD,"27,76",2025-09-17
SAHOL,"92,65",2025-09-17
BIMAS,"517,5",2025-09-17
EKGYO,"20,18",2025-09-17
EREGL,"27,52",2025-09-17
CIMSA,"46,72",2025-09-17
ULKER,"108,6",2025-09-17
SISE,"38,34",2025-09-17
TTKOM,"52,35",2025-09-17
PETKM,"17,9",2025-09-17
AEFES,"15,22",2025-09-17
TAVHL,"241,7",2025-09-17
FROTO,105,2025-09-17
PGSUS,"230,2",2025-09-17
ASTOR,112,2025-09-17
THYAO,"321,5",2025-09-17
MGROS,"441,77",2025-09-17
TOASO,"268,25",2025-09-16
ASELS,"195,2",2025-09-16
TUPRS,189,2025-09-16
YKBNK,"34,04",2025-09-16
GARAN,"149,8",2025-09-16
ENKAI,"74,3",2025-09-16
ISCTR,"14,93",2025-09-16
KCHOL,"181,2",2025-09-16
AKBNK,"66,6",2025-09-16
SAHOL,"92,6",2025-09-16
TCELL,"95,2",2025-09-16
KRDMD,"27,62",2025-09-16
EKGYO,"20,56",2025-09-16
ASTOR,"118,6",2025-09-16
TAVHL,"249,7",2025-09-16
BIMAS,525,2025-09-16
FROTO,"108,4",2025-09-16
GUBRF,"278,5",2025-09-16
ULKER,109,2025-09-16
EREGL,"27,62",2025-09-16
CIMSA,"47,18",2025-09-16
SASA,"4,03",2025-09-16
AEFES,"15,45",2025-09-16
KOZAL,"24,5",2025-09-16
SISE,"38,76",2025-09-16
PGSUS,"232,5",2025-09-16
PETKM,"18,03",2025-09-16
THYAO,327,2025-09-16
MGROS,"446,24",2025-09-16
TTKOM,"51,9",2025-09-16
TOASO,"260,5",2025-09-15
TUPRS,"183,7",2025-09-15
ISCTR,"14,87",2025-09-15
ENKAI,"74,85",2025-09-15
KCHOL,"179,9",2025-09-15
YKBNK,"33,02",2025-09-15
EKGYO,"20,7",2025-09-15
ASELS,"185,2",2025-09-15
ASTOR,"119,4",2025-09-15
BIMAS,"524,5",2025-09-15
GARAN,"146,3",2025-09-15
THYAO,"331,75",2025-09-15
SAHOL,"92,1",2025-09-15
TCELL,"93,65",2025-09-15
SISE,"38,8",2025-09-15
AKBNK,"65,45",2025-09-15
ULKER,109,2025-09-15
EREGL,"27,5",2025-09-15
PGSUS,"233,8",2025-09-15
KRDMD,"27,14",2025-09-15
PETKM,18,2025-09-15
CIMSA,"46,38",2025-09-15
TAVHL,"244,8",2025-09-15
FROTO,"105,3",2025-09-15
GUBRF,274,2025-09-15
SASA,"3,96",2025-09-15
KOZAL,"23,36",2025-09-15
AEFES,"15,19",2025-09-15
TTKOM,52,2025-09-15
MGROS,444,2025-09-15
ASTOR,"116,5",2025-09-12
TUPRS,"173,4",2025-09-12
TOASO,"240,5",2025-09-12
ISCTR,"13,95",2025-09-12
YKBNK,"31,1",2025-09-12
ASELS,"173,9",2025-09-12
ENKAI,"68,25",2025-09-12
GARAN,"137,9",2025-09-12
EKGYO,"19,3",2025-09-12
TCELL,"89,45",2025-09-12
KCHOL,"166,5",2025-09-12
SAHOL,"86,05",2025-09-12
AKBNK,62,2025-09-12
THYAO,314,2025-09-12
ULKER,103,2025-09-12
PGSUS,"222,6",2025-09-12
BIMAS,"488,5",2025-09-12
SISE,"36,3",2025-09-12
FROTO,"100,8",2025-09-12
CIMSA,"44,08",2025-09-12
PETKM,"17,11",2025-09-12
TAVHL,"231,5",2025-09-12
KRDMD,"25,58",2025-09-12
GUBRF,"259,5",2025-09-12
SASA,"3,6",2025-09-12
KOZAL,"22,06",2025-09-12
EREGL,"25,7",2025-09-12
AEFES,"14,32",2025-09-12
TTKOM,"48,88",2025-09-12
MGROS,"419,43",2025-09-12
TOASO,"239,6",2025-09-11
TUPRS,175,2025-09-11
ISCTR,"13,83",2025-09-11
YKBNK,31,2025-09-11
THYAO,316,2025-09-11
GARAN,"137,8",2025-09-11
ASTOR,"111,2",2025-09-11
EKGYO,"19,22",2025-09-11
KOZAL,"23,04",2025-09-11
KCHOL,166,2025-09-11
ASELS,"172,1",2025-09-11
SAHOL,"86,05",2025-09-11
TCELL,"88,65",2025-09-11
ENKAI,"66,85",2025-09-11
TAVHL,"232,3",2025-09-11
BIMAS,489,2025-09-11
FROTO,101,2025-09-11
SISE,"36,48",2025-09-11
ULKER,"102,1",2025-09-11
AKBNK,61,2025-09-11
CIMSA,"44,42",2025-09-11
KRDMD,"25,66",2025-09-11
PGSUS,"220,9",2025-09-11
PETKM,"17,07",2025-09-11
GUBRF,"260,25",2025-09-11
SASA,"3,75",2025-09-11
TTKOM,50,2025-09-11
AEFES,"14,41",2025-09-11
EREGL,"25,7",2025-09-11
MGROS,"418,94",2025-09-11
EKGYO,"20,5",2025-09-10
TOASO,"240,1",2025-09-10
TUPRS,"170,5",2025-09-10
ASTOR,115,2025-09-10
GARAN,"141,9",2025-09-10
YKBNK,"31,54",2025-09-10
ASELS,"177,4",2025-09-10
ISCTR,"13,94",2025-09-10
THYAO,"322,5",2025-09-10
AKBNK,"63,9",2025-09-10
KOZAL,"23,5",2025-09-10
TAVHL,"240,1",2025-09-10
SAHOL,"87,35",2025-09-10
CIMSA,"44,88",2025-09-10
KCHOL,"167,5",2025-09-10
TCELL,"88,75",2025-09-10
GUBRF,"267,75",2025-09-10
FROTO,"102,7",2025-09-10
ULKER,"104,5",2025-09-10
BIMAS,494,2025-09-10
ENKAI,"66,45",2025-09-10
AEFES,"15,02",2025-09-10
TTKOM,"50,85",2025-09-10
KRDMD,26,2025-09-10
SASA,"3,92",2025-09-10
SISE,"36,72",2025-09-10
PGSUS,"222,8",2025-09-10
PETKM,"17,27",2025-09-10
EREGL,"26,02",2025-09-10
MGROS,"431,1",2025-09-10
TOASO,237,2025-09-09
KOZAL,"23,7",2025-09-09
TUPRS,"168,3",2025-09-09
ASTOR,"113,6",2025-09-09
GARAN,"138,1",2025-09-09
EKGYO,"19,74",2025-09-09
YKBNK,"30,84",2025-09-09
FROTO,"102,9",2025-09-09
THYAO,"316,75",2025-09-09
TCELL,"89,1",2025-09-09
ASELS,"173,7",2025-09-09
ISCTR,"13,63",2025-09-09
AKBNK,"62,8",2025-09-09
GUBRF,"268,5",2025-09-09
ENKAI,"66,8",2025-09-09
CIMSA,"44,8",2025-09-09
SAHOL,"86,2",2025-09-09
KCHOL,166,2025-09-09
TTKOM,"50,9",2025-09-09
TAVHL,233,2025-09-09
BIMAS,"486,25",2025-09-09
ULKER,"102,2",2025-09-09
SASA,"3,91",2025-09-09
SISE,"36,34",2025-09-09
KRDMD,"25,88",2025-09-09
EREGL,"26,26",2025-09-09
PETKM,"17,3",2025-09-09
PGSUS,"220,8",2025-09-09
AEFES,"14,67",2025-09-09
MGROS,"427,62",2025-09-09
FROTO,"105,6",2025-09-08
ASTOR,"110,7",2025-09-08
KOZAL,"23,28",2025-09-08
TUPRS,"165,9",2025-09-08
ASELS,"173,5",2025-09-08
GARAN,"136,8",2025-09-08
TCELL,"88,9",2025-09-08
ENKAI,"67,85",2025-09-08
CIMSA,"44,98",2025-09-08
EKGYO,"18,94",2025-09-08
GUBRF,"268,5",2025-09-08
YKBNK,"30,02",2025-09-08
THYAO,309,2025-09-08
BIMAS,487,2025-09-08
ISCTR,"13,4",2025-09-08
TOASO,"222,7",2025-09-08
TTKOM,"51,1",2025-09-08
SISE,"36,58",2025-09-08
AKBNK,"61,55",2025-09-08
SAHOL,"85,45",2025-09-08
KCHOL,"164,5",2025-09-08
MGROS,"433,83",2025-09-08
EREGL,"26,5",2025-09-08
KRDMD,"25,76",2025-09-08
PETKM,"17,42",2025-09-08
TAVHL,"229,7",2025-09-08
SASA,"3,99",2025-09-08
ULKER,"101,9",2025-09-08
PGSUS,"220,2",2025-09-08
AEFES,"14,5",2025-09-08
KOZAL,"24,2",2025-09-05
ASTOR,113,2025-09-05
FROTO,107,2025-09-05
BIMAS,515,2025-09-05
TUPRS,"167,5",2025-09-05
ENKAI,"69,2",2025-09-05
ASELS,175,2025-09-05
THYAO,"319,5",2025-09-05
TAVHL,243,2025-09-05
GARAN,"138,8",2025-09-05
SASA,"4,43",2025-09-05
TCELL,"90,05",2025-09-05
TTKOM,"52,9",2025-09-05
GUBRF,"269,5",2025-09-05
MGROS,"454,43",2025-09-05
EKGYO,"19,51",2025-09-05
SISE,"37,68",2025-09-05
EREGL,"27,34",2025-09-05
CIMSA,"45,06",2025-09-05
TOASO,"225,1",2025-09-05
ISCTR,"13,69",2025-09-05
PETKM,"18,18",2025-09-05
KRDMD,"26,74",2025-09-05
KCHOL,168,2025-09-05
YKBNK,"30,3",2025-09-05
ULKER,105,2025-09-05
AKBNK,"62,45",2025-09-05
SAHOL,"85,8",2025-09-05
PGSUS,"225,9",2025-09-05
AEFES,"14,9",2025-09-05
ASTOR,"117,9",2025-09-04
KOZAL,"23,78",2025-09-04
TUPRS,"168,8",2025-09-04
ASELS,182,2025-09-04
BIMAS,516,2025-09-04
GUBRF,281,2025-09-04
THYAO,"322,5",2025-09-04
EREGL,"28,18",2025-09-04
ENKAI,"69,1",2025-09-04
TAVHL,"243,5",2025-09-04
TCELL,"90,5",2025-09-04
SISE,"38,16",2025-09-04
SASA,"4,43",2025-09-04
CIMSA,"46,06",2025-09-04
GARAN,"138,4",2025-09-04
MGROS,"457,41",2025-09-04
FROTO,"104,6",2025-09-04
KRDMD,"27,38",2025-09-04
EKGYO,"19,32",2025-09-04
TTKOM,"52,85",2025-09-04
TOASO,"227,5",2025-09-04
KCHOL,"170,2",2025-09-04
PETKM,"18,45",2025-09-04
PGSUS,"231,1",2025-09-04
ULKER,"106,1",2025-09-04
SAHOL,"87,5",2025-09-04
AEFES,"15,38",2025-09-04
YKBNK,"30,22",2025-09-04
ISCTR,"13,58",2025-09-04
AKBNK,"61,6",2025-09-04
TUPRS,"170,9",2025-09-03
GUBRF,287,2025-09-03
THYAO,"329,25",2025-09-03
KOZAL,"23,82",2025-09-03
ASTOR,"112,1",2025-09-03
ASELS,"178,8",2025-09-03
EREGL,"28,5",2025-09-03
BIMAS,"510,5",2025-09-03
TAVHL,"244,8",2025-09-03
FROTO,"105,2",2025-09-03
ENKAI,"68,5",2025-09-03
SASA,"4,52",2025-09-03
TCELL,"90,65",2025-09-03
SISE,"38,26",2025-09-03
MGROS,"454,18",2025-09-03
TOASO,228,2025-09-03
CIMSA,"45,26",2025-09-03
GARAN,"133,8",2025-09-03
EKGYO,"19,08",2025-09-03
TTKOM,"52,7",2025-09-03
ULKER,"105,6",2025-09-03
PGSUS,231,2025-09-03
KCHOL,"167,9",2025-09-03
PETKM,"18,52",2025-09-03
AEFES,"15,45",2025-09-03
KRDMD,"26,9",2025-09-03
AKBNK,"60,8",2025-09-03
SAHOL,"86,1",2025-09-03
ISCTR,"13,11",2025-09-03
YKBNK,"29,24",2025-09-03
GUBRF,"285,5",2025-09-02
TUPRS,"170,1",2025-09-02
ASTOR,112,2025-09-02
THYAO,"327,5",2025-09-02
EKGYO,"20,7",2025-09-02
EREGL,"28,52",2025-09-02
BIMAS,"509,5",2025-09-02
SASA,"4,62",2025-09-02
KOZAL,"23,26",2025-09-02
ENKAI,"68,8",2025-09-02
GARAN,"140,6",2025-09-02
AKBNK,"66,05",2025-09-02
ASELS,"174,2",2025-09-02
SISE,"38,92",2025-09-02
TOASO,"232,6",2025-09-02
CIMSA,"46,66",2025-09-02
TCELL,"91,2",2025-09-02
YKBNK,"31,58",2025-09-02
TAVHL,241,2025-09-02
FROTO,"104,9",2025-09-02
MGROS,"459,89",2025-09-02
KCHOL,"172,3",2025-09-02
PETKM,"18,64",2025-09-02
ULKER,"107,8",2025-09-02
PGSUS,"235,6",2025-09-02
AEFES,"15,74",2025-09-02
SAHOL,"89,1",2025-09-02
ISCTR,"13,81",2025-09-02
TTKOM,"52,6",2025-09-02
KRDMD,"27,14",2025-09-02
ASTOR,"118,7",2025-09-01
GUBRF,"292,25",2025-09-01
EREGL,"29,84",2025-09-01
TUPRS,"173,2",2025-09-01
THYAO,"337,5",2025-09-01
EKGYO,"21,18",2025-09-01
AKBNK,"69,2",2025-09-01
KOZAL,"24,28",2025-09-01
ENKAI,"72,95",2025-09-01
BIMAS,"529,5",2025-09-01
TOASO,"246,9",2025-09-01
GARAN,146,2025-09-01
KCHOL,"184,1",2025-09-01
SASA,"4,58",2025-09-01
YKBNK,"33,42",2025-09-01
