Symbol,Price,Day
TCELL,"96,45",2025-11-10
ISCTR,"12,58",2025-11-10
GARAN,"130,1",2025-11-10
KCHOL,"166,9",2025-11-10
AEFES,"14,21",2025-11-10
SISE,"35,68",2025-11-10
PGSUS,"205,5",2025-11-10
PETKM,"16,93",2025-11-10
SAHOL,"77,75",2025-11-10
ASTOR,"92,95",2025-11-10
THYAO,"278,25",2025-11-10
SASA,"2,89",2025-11-10
EKGYO,"18,82",2025-11-10
ASELS,"186,4",2025-11-10
KRDMD,"25,48",2025-11-10
EREGL,"25,24",2025-11-10
TOASO,"230,8",2025-11-10
DSTKF,"723,5",2025-11-07
KOZAL,"28,4",2025-11-07
MGROS,"495,38",2025-11-07
TTKOM,"55,8",2025-11-07
ULKER,"114,6",2025-11-07
ENKAI,"77,9",2025-11-07
TUPRS,198,2025-11-07
YKBNK,"33,54",2025-11-07
TAVHL,"268,25",2025-11-07
ISCTR,"12,88",2025-11-07
AKBNK,"60,9",2025-11-07
KCHOL,"171,8",2025-11-07
BIMAS,556,2025-11-07
AEFES,"14,43",2025-11-07
GARAN,"133,5",2025-11-07
PGSUS,"211,5",2025-11-07
GUBRF,302,2025-11-07
ASTOR,"97,1",2025-11-07
EKGYO,"19,94",2025-11-07
THYAO,"289,5",2025-11-07
SISE,36,2025-11-07
FROTO,"97,1",2025-11-07
TCELL,"96,9",2025-11-07
SAHOL,"79,7",2025-11-07
PETKM,"17,05",2025-11-07
SASA,"2,93",2025-11-07
KRDMD,"25,94",2025-11-07
EREGL,"26,12",2025-11-07
ASELS,"185,1",2025-11-07
TOASO,230,2025-11-07
DSTKF,725,2025-11-06
ULKER,"114,6",2025-11-06
YKBNK,"34,4",2025-11-06
TTKOM,"55,4",2025-11-06
ASTOR,"101,8",2025-11-06
ISCTR,"13,25",2025-11-06
TAVHL,273,2025-11-06
AKBNK,"62,45",2025-11-06
GARAN,"136,6",2025-11-06
KCHOL,"176,3",2025-11-06
SISE,"37,62",2025-11-06
MGROS,"466,84",2025-11-06
AEFES,"14,84",2025-11-06
TCELL,102,2025-11-06
ENKAI,"77,55",2025-11-06
KOZAL,"27,32",2025-11-06
